timestamp,position,velocity,acceleration,attitude,body_rate,actuator
943525838,1,0,0,0,0,0
943545895,1,0,0,0,0,0
943625921,1,0,0,0,0,0
943726044,1,0,0,0,0,0
943826625,1,0,0,0,0,0
943926062,1,0,0,0,0,0
944026813,1,0,0,0,0,0
944125886,1,0,0,0,0,0
944227180,1,0,0,0,0,0
944327210,1,0,0,0,0,0
944426006,1,0,0,0,0,0
944525831,1,0,0,0,0,0
944625885,1,0,0,0,0,0
944727524,1,0,0,0,0,0
944826064,1,0,0,0,0,0
944929166,1,0,0,0,0,0
945025966,1,0,0,0,0,0
945125901,1,0,0,0,0,0
945226039,1,0,0,0,0,0
945326423,1,0,0,0,0,0
945427373,1,0,0,0,0,0
945525891,1,0,0,0,0,0
945626434,1,0,0,0,0,0
945726974,1,0,0,0,0,0
945826176,1,0,0,0,0,0
945925906,1,0,0,0,0,0
946026136,1,0,0,0,0,0
946126034,1,0,0,0,0,0
946225954,1,0,0,0,0,0
946327088,1,0,0,0,0,0
946425953,1,0,0,0,0,0
946529539,1,0,0,0,0,0
946625963,1,0,0,0,0,0
946729336,1,0,0,0,0,0
946827306,1,0,0,0,0,0
946926337,1,0,0,0,0,0
947026148,1,0,0,0,0,0
947126889,1,0,0,0,0,0
947226688,1,0,0,0,0,0
947325885,1,0,0,0,0,0
947430241,1,0,0,0,0,0
947528569,1,0,0,0,0,0
947629414,1,0,0,0,0,0
947725872,1,0,0,0,0,0
947826176,1,0,0,0,0,0
947926079,1,0,0,0,0,0
948026675,1,0,0,0,0,0
948126441,1,0,0,0,0,0
948225944,1,0,0,0,0,0
948325872,1,0,0,0,0,0
948426118,1,0,0,0,0,0
948526298,1,0,0,0,0,0
948628102,1,0,0,0,0,0
948725871,1,0,0,0,0,0
948827216,1,0,0,0,0,0
948927079,1,0,0,0,0,0
949029401,1,0,0,0,0,0
949126651,1,0,0,0,0,0
949225891,1,0,0,0,0,0
949325845,1,0,0,0,0,0
949426327,1,0,0,0,0,0
949525901,1,0,0,0,0,0
949625869,1,0,0,0,0,0
949725822,1,0,0,0,0,0
949825768,1,0,0,0,0,0
949926072,1,0,0,0,0,0
950025886,1,0,0,0,0,0
950126305,1,0,0,0,0,0
950225816,1,0,0,0,0,0
950326046,1,0,0,0,0,0
950425931,1,0,0,0,0,0
950526062,1,0,0,0,0,0
950625978,1,0,0,0,0,0
950725893,1,0,0,0,0,0
950825879,1,0,0,0,0,0
950925993,1,0,0,0,0,0
951025895,1,0,0,0,0,0
951128055,1,0,0,0,0,0
951226412,1,0,0,0,0,0
951330276,1,0,0,0,0,0
951426495,1,0,0,0,0,0
951525924,1,0,0,0,0,0
951605961,1,0,0,0,0,0
951709915,1,0,0,0,0,0
951826382,1,0,0,0,0,0
951925891,1,0,0,0,0,0
952032250,1,0,0,0,0,0
952132826,1,0,0,0,0,0
952231095,1,0,0,0,0,0
952327286,1,0,0,0,0,0
952425935,1,0,0,0,0,0
952527543,1,0,0,0,0,0
952625976,1,0,0,0,0,0
952726526,1,0,0,0,0,0
952805964,1,0,0,0,0,0
952926883,1,0,0,0,0,0
953026188,1,0,0,0,0,0
953126304,1,0,0,0,0,0
953225816,1,0,0,0,0,0
953325935,1,0,0,0,0,0
953425879,1,0,0,0,0,0
953525985,1,0,0,0,0,0
953625986,1,0,0,0,0,0
953726505,1,0,0,0,0,0
953825873,1,0,0,0,0,0
953925910,1,0,0,0,0,0
954025910,1,0,0,0,0,0
954133189,1,0,0,0,0,0
954225863,1,0,0,0,0,0
954325924,1,0,0,0,0,0
954426846,1,0,0,0,0,0
954525979,1,0,0,0,0,0
954626364,1,0,0,0,0,0
954726171,1,0,0,0,0,0
954826320,1,0,0,0,0,0
954928188,1,0,0,0,0,0
955028881,1,0,0,0,0,0
955127032,1,0,0,0,0,0
955226307,1,0,0,0,0,0
955326175,1,0,0,0,0,0
955426587,1,0,0,0,0,0
955525893,1,0,0,0,0,0
955625898,1,0,0,0,0,0
